89168,Real Love (feat. Danyka Nadeau)
122509,Reasons feat. Andrew Allen
581837,Renegade EP
70768,Renzokuken
127555,Savage
36359,Saviors
23821,Scorpion Pit (The Remixes)
50961,Seconds Away
262846,Secret Weapon EP
44397,Sentinel
5304,Shadow
48101,Shake It off (feat. Jeff Sontag)
36655,Shark City
130337,Skybreaker
791781,Smashing Newbs
212526,Snowblind (feat. Tasha Baxter)
221698,Soldiers
308917,Some Wobbles - EP
56695,Spection EP
53192,State of Mind (feat. in-Phase)
18343,Step up (feat. Whizzkid)
406642,Sugar Rush EP
2361048,Surface
277015,Surge
41325,Taking over (feat. Cassandra Kay)
30895,The Covenant
1586952,The Lost Tracks
6569,The Monstercat Podcast - Episode 001
4527,The Monstercat Podcast - Episode 002
3439,The Monstercat Podcast - Episode 003
303016,The Munsta
96063,The Munsta (The Remixes)
105285,The Scarlet Dawn
66604,The Takeover EP
174529,This Is Forever (feat. Danyka Nadeau)
25574,Throne
9925,Thundergun
1276197,Till It's Over
473227,Timeless EP
1486078,To the Stars
64849,Tonight (The Remixes) [feat. Danyka Nadeau]
46580,Too Late
197928,Transformations (feat. Laura Brehm)
47157,Triumph
353940,Truth (The Remixes)
1985,Turbo Penguin
85124,Turn Around
415403,Two Fold Pt.1
177344,Valkyrie (feat. Laura Brehm)
25014,Valkyrie II: Lacuna (feat. Cassandra Kay)
73807,Waking Dreams EP
134639,Wanna Know You EP
26360,War
35063,We Are the Robots (feat. Temu)
125668,We're All Mad Here EP
21412,What You Waiting For
26916,What's Going on (feat. Isabel Higuero)
13090,Wuxia
61967,You & Me
